TableName , Field Name , Data Type , IsNull , Is Primary Key , Type Key ,Foreign Key , Multiple FK Type
"APDIncident","PMT_ID","varchar(100)","not null","primary key","","",""
"APDIncident","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"APDIncident","AbstractReadyFlag_Ext","bool","nullable","","","",""
"APDIncident","AssessmentCloseDate","timestamp","nullable","","","",""
"APDIncident","AssessmentComment","varchar(255)","nullable","","","",""
"APDIncident","AssessmentName","varchar(128)","nullable","","","",""
"APDIncident","AssessmentStatus","varchar(6)","nullable","","typekey.AssessmentStatus","",""
"APDIncident","AssessmentTargetCloseDate","timestamp","nullable","","","",""
"APDIncident","AssessmentType","varchar(8)","nullable","","typekey.AssessmentType","",""
"APDIncident","AutomationPath","varchar(16)","nullable","","typekey.AutomationPath","",""
"APDIncident","Description","varchar(1333)","nullable","","","",""
"APDIncident","Fatality_Ext","varchar(7)","nullable","","typekey.YesNo","",""
"APDIncident","IncludeContentLineItems","bool","nullable","","","",""
"APDIncident","IncludeLineItems","bool","nullable","","","",""
"APDIncident","IsReinManualUpdate_Ext","bool","nullable","","","",""
"APDIncident","LoadCommandID","int8","nullable","","","",""
"APDIncident","LossEstimate","numeric(18,2)","nullable","","","",""
"APDIncident","LossParty","varchar(11)","nullable","","typekey.LossPartyType","",""
"APDIncident","ReinsuranceReport_Ext","varchar(34)","nullable","","typekey.ReinsuranceReport_Ext","",""
"APDIncident","Severity","varchar(16)","nullable","","typekey.SeverityType","",""
"APDIncident","InternalUser","varchar(100)","nullable","","","entity.User",""
"APDIncident","PMT_PayloadId","varchar(256)","not null","","","",""
"Account","PMT_ID","varchar(100)","not null","primary key","","",""
"Account","AccountNumber","varchar(255)","not null","","","",""
"Account","AccountHolder","varchar(100)","nullable","","","FK to the table specified in AccountHolder_Type column",""
"Account","user_Ext","varchar(100)","nullable","","","entity.User",""
"Account","AccountHolder_Type","varchar(30)","nullable","","","","Adjudicator, Attorney, AutoRepairShop, AutoTowingAgcy, Company, CompanyVendor, Doctor, InsuranceCompany, LawFirm, LegalVendor_Ext, LegalVenue, MedicalCareOrg, Person, PersonVendor, Place, UserContact"
"Account","PMT_PayloadId","varchar(256)","not null","","","",""
"AccountSpecialHandling","PMT_ID","varchar(100)","not null","primary key","","",""
"AccountSpecialHandling","PMT_Parent","varchar(100)","nullable","","","entity.Account",""
"AccountSpecialHandling","PMT_PayloadId","varchar(256)","not null","","","",""
