,ADDED_BY_USER,DTTM_RCD_ADDED,UPDATED_BY_USER,POLICY_ID,POLICY_NAME,POLICY_NUMBER,POLICY_STATUS_CODE,INSURER_EID,ISSUE_DATE,REVIEW_DATE,RENEWAL_DATE,EFFECTIVE_DATE,EXPIRATION_DATE,CANCEL_DATE,PREMIUM,TRIGGER_CLAIM_FLAG,PRIMARY_POLICY_FLG,COMMENTS,DTTM_RCD_LAST_UPD,BROKER_EID,BANK_ACC_ID,SUB_ACC_ROW_ID,HTMLCOMMENTS,ALL_STATES_FLAG,POLICY_SYSTEM_ID,POLICY_LOB_CODE,POLICY_SYMBOL,EXTERNAL_POLICY_ID,CURRENCY_CODE,MODULE,MASTER_COMPANY,LOCATION_COMPANY,BRANCH_CODE,LEGACY_UNIQUE_IDENTIFIER,INVALID_IND,PAID_TO_DATE,ISSUE_SYSTEM,RESINSURANCE_FLAG,RETRO_DATE,TAIL_DATE,REINSURANCE_CODE,EXTERNAL_POLICY_KEY,MASTER_COMPANY_DESC,INJURY_MGT_PROGRAM_CODE,CANCEL_REASON_CODE,GST_RATE,GST_AMOUNT,ITC_RATE,PREMIUM_WO_GST,PRODUCT_TYPE,PRODUCT_SUB_TYPE,REPT_PRODUCT_TYPE,ISSUE_STATE,MAJOR_LOB,FACE_AMOUNT,CONTESTABLE,INSURED_INDICATOR,ANNUITY_QUAL_TYPE,PAR_TYPE,ADMIN_PAID_DATE,PLAN_CODE,REGION,CLIENT_PROG_ID,UMR_ROW_ID,PROCESSED
0,KGaspard,20151106094030,KGaspard,3628,AGL002799700,0027997,212,0,,,,20150723,20160723,,0.0,0,-1,,20151106094030,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,187010,0,,,0,,,0,"AGL,0027997,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
1,TCON4A,20120813100010,TCON4A,6615,11CAA5899600,1158996,212,0,,,,20070601,20080601,20080601,0.0,0,-1,,20120813100010,0,0,0,,0,1,26319,CAA,,26723,00,05,00,01,115279,0,,,0,,,0,"CAA,1158996,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
2,MHerman,20150327110933,MHerman,7272,ESP003896904,0038969,212,0,,,,20140524,20150524,,0.0,0,-1,,20150327110933,0,0,0,,0,1,27059,ESP,,26723,04,01,00,,179538,0,,,0,,,0,"ESP,0038969,04,01,00",,,,,,,,,,,,,,,,,,,,,,,
3,TCON1A,20120315182245,TCON1A,8650,11WCX5940000,1159400,212,0,,,,20070701,20080701,,0.0,0,-1,,20120315182245,0,0,0,,0,1,26327,WCX,,26723,00,05,00,10,62267,0,,,0,,,0,"WCX,1159400,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
4,KGaspard,20150526125658,KGaspard,9696,AGL001495900,0014959,212,0,,,,20140701,20150701,,0.0,0,-1,,20150526125658,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,181512,0,,,0,,,0,"AGL,0014959,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
5,TCON2A,20120907124824,TCON2A,14330,11CAA5493802,1154938,212,0,,,,20081210,20091231,20091231,0.0,0,-1,,20120907124824,0,0,0,,0,1,26319,CAA,,26723,02,05,00,01,130515,0,,,0,,,0,"CAA,1154938,02,05,00",,,,,,,,,,,,,,,,,,,,,,,
6,JVictori,20160310151725,JVictori,15472,WCX003044403,0030444,212,0,,,,20120101,20130101,,0.0,0,-1,,20160310151725,0,0,0,,0,1,26327,WCX,,26723,03,05,00,,191041,0,,,0,,,0,"WCX,0030444,03,05,00",,,,,,,,,,,,,,,,,,,,,,,
7,KGaspard,20150924095811,KGaspard,16990,AGL002303200,0023032,212,0,,,,20150304,20160304,,0.0,0,-1,,20150924095811,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,185608,0,,,0,,,0,"AGL,0023032,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
8,JVictori,20150925165718,JVictori,17282,WCX003935302,0039353,212,0,,,,20120701,20130701,,0.0,0,-1,,20150925165718,0,0,0,,0,1,26327,WCX,,26723,02,05,00,,185695,0,,,0,,,0,"WCX,0039353,02,05,00",,,,,,,,,,,,,,,,,,,,,,,
9,TCON3A,20120817145254,TCON3A,19426,12ULP1374800,1213748,212,0,,,,20030401,20040401,20030401,0.0,0,-1,,20120817145254,0,0,0,,0,1,27061,ULP,,26723,00,01,00,01,120546,0,,,0,,,0,"ULP,1213748,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
